001	308438
001_choose	308438
003	308438
005	308438
006	324
007	28149
010	268
016	5723
019	116494
020	50405
022	1095
024	300
028	2771
035	308438
037	567
039	1156
040	308356
041	12899
044	2828
050	490
060	9
082	1283
084	1620
100	217719
110	1293
111	30
210	46
222	16
240	2139
245	308382
246	11414
250	59242
254	5
255	904
256	5
260	296573
300	250077
310	1913
321	128
362	4251
490	77648
500	72222
502	3597
504	1758
505	15909
508	612
509	7244
510	3609
511	8175
520	2664
534	793
538	2706
580	247
590	4633
595	14
600	3120
610	524
611	38
630	183
648	1975
650	31659
651	24123
653	1162
655	8265
690	123369
691	33038
700	93932
710	34286
711	2082
730	1834
740	32
752	5273
770	99
772	100
773	51422
775	40
776	9
777	3
780	1335
785	1223
787	439
800	19
830	5387
852	14646
856	4833
897	5226
898	308433
908	46287
909	166670
912	17168
913	2415
949	294452
950	289284
986	138921
